,school-name,matched_again,match_from,school_address
85,The University of Texas,"(The University of Texas at Tyler, 3900, University Boulevard, Tyler, Smith County, Texas, 75701, United States of America, (32.315819, -95.2534027598))",Nominatum,"The University of Texas at Tyler, 3900, University Boulevard, Tyler, Smith County, Texas, 75701, United States of America"
86,Northeastern University,"New York, NY",Collegelist,
87,Indiana University Bloomington,"Bloomington, IN",Collegelist,
88,Huazhong University of Science and Technology,,,
89,California State University-San Marcos - College of Business Administration,,,
90,Grants Pass High School,"830 NE 9TH ST GRANTS PASS, OR 97526",Collegelist,
91,Drexel University - College of Business and Administration,,,
92,Charles University in Prague,,,
93,Bentley University,"Waltham, MA",Collegelist,
94,The Italian International Institute: LdM Roma,,,
95,"London School of Economics and Political Science, U. of London",,,
96,"University of California, Berkeley","Berkeley, CA",Collegelist,
97,"Städtische Berufsschule für das Hotel-, Gaststätten- und Braugewerbe",,,
98,Harvard University,"Cambridge, MA",Collegelist,
99,Boston University,"Boston, MA",Collegelist,
100,Suffolk University - Sawyer Business School,"Boston, MA",Manual,
101,Wirtschaftsuniversität Wien,"(Wirtschaftsuniversität Wien, 1, Welthandelsplatz, Stuwerviertel, Leopoldstadt, Wien, 1020, Österreich, (48.21365185, 16.4082223893))",Nominatum,"Wirtschaftsuniversität Wien, 1, Welthandelsplatz, Stuwerviertel, Leopoldstadt, Wien, 1020, Österreich"
102,Herricks High School,"100 SHELTER ROCK RD NEW HYDE PARK, NY 11040",Collegelist,
103,Northeastern University,"New York, NY",Collegelist,
104,,,,
105,Tevfik Fikret Lisesi,"(Tevfik Fikret Lisesi, Dumlupınar Bulvarı, Bilkent, Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, 06531, Türkiye, (39.9113191, 32.764988))",Nominatum,"Tevfik Fikret Lisesi, Dumlupınar Bulvarı, Bilkent, Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, 06531, Türkiye"
106,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
107,Boston College - Wallace E. Carroll Graduate School of Management,"Chestnut Hill, MA",Manual,
